abandoning abandon abandons abandoned
collectivizing collectivizes collectivize collectivized
collide collides colliding collided
colligating colligate colligates colligated
collocated collocate collocates collocating
colluded colludes collude colluding
colonises colonising colonise colonised
colonizes colonize colonized colonizing
coloring colors color colored
colorises colorised colorising colorise
colorizes colorizing colorize colorized
colours coloured colour colouring
combing comb combs combed
combat combating combated combats
combine combined combining combines
combusted combusts combusting combust
come came coming comes
comforting comfort comforted comforts
commanded commanding command commands
commandeer commandeers commandeering commandeered
commemorate commemorating commemorates commemorated
commencing commenced commence commences
commending commended commend commends
commented comment comments commenting
commentates commentated commentating commentate
commercialise commercialises commercialising commercialised
commercializes commercialize commercializing commercialized
commingles commingled commingling commingle
commiserate commiserated commiserating commiserates
commission commissioned commissions commissioning
commit commits committing committed
commune communed communes communing
communicated communicate communicates communicating
commuting commuted commute commutes
comped comping comp comps
compacts compacted compact compacting
compares compared compare comparing
comparison-shops comparison-shop comparison-shopping comparison-shopped
comparisonshops comparisonshop comparisonshopping comparisonshopped
compartmentalises compartmentalised compartmentalise compartmentalising
compartmentalizing compartmentalizes compartmentalized compartmentalize
compels compelling compelled compel
compensates compensating compensate compensated
compete competed competes competing
compiling compiled compile compiles
complains complain complained complaining
complemented complement complementing complements
completed complete completes completing
complicated complicating complicate complicates
complimenting compliments compliment complimented
complied complying comply complies
comported comports comport comporting
composing composes compose composed
composts composted compost composting
compounds compounded compounding compound
comprehended comprehends comprehending comprehend
compressed compresses compress compressing
comprises comprise comprised comprising
compromised compromise compromising compromises
computing computes compute computed
computerising computerised computerises computerise
computerizing computerizes computerize computerized
comp�ring comp�re comp�res comp�red
conning conned con cons
concealing concealed conceals conceal
conceding conceded concedes concede
conceives conceive conceiving conceived
concentrated concentrating concentrate concentrates
conceptualised conceptualises conceptualise conceptualising
conceptualized conceptualizes conceptualizing conceptualize
concerning concerned concern concerns
concertina concertinaing concertinaed concertinas
conciliating conciliates conciliated conciliate
concludes concluded conclude concluding
concocting concocts concocted concoct
concrete concreting concreted concretes
concurring concur concurs concurred
concussed concuss concussing concusses
condemn condemns condemning condemned
condenses condensed condense condensing
condescend condescended condescending condescends
conditioned conditions condition conditioning
condoning condoned condones condone
conduct conducted conducting conducts
cones coned coning cone
conferred confer conferring confers
confesses confessed confess confessing
confided confides confiding confide
configure configured configuring configures
confined confine confining confines
confirming confirm confirmed confirms
confiscate confiscating confiscated confiscates
conflated conflating conflates conflate
conflicted conflict conflicting conflicts
conforms conform conforming conformed
confounding confounds confound confounded
confronting confronted confronts confront
confused confuse confuses confusing
confute confuted confutes confuting
congeals congealing congeal congealed
congratulated congratulates congratulate congratulating
congregating congregate congregated congregates
conjecturing conjectures conjectured conjecture
conjoins conjoined conjoining conjoin
conjugated conjugating conjugate conjugates
conjure conjures conjured conjuring
conk conked conking conks
connected connect connecting connects
connive connived conniving connives
connoted connoting connotes connote
conquer conquered conquering conquers
conscientise conscientising conscientises conscientised
conscientized conscientize conscientizes conscientizing
conscript conscripting conscripts conscripted
consecrating consecrate consecrates consecrated
consents consenting consent consented
conserves conserving conserve conserved
considering consider considered considers
consigned consign consigns consigning
consists consist consisted consisting
consoled consoling consoles console
consolidate consolidated consolidating consolidates
consorting consort consorts consorted
conspires conspire conspired conspiring
constitute constituted constituting constitutes
constrain constrains constraining constrained
constrict constricting constricted constricts
constructing constructs constructed construct
construed construes construing construe
consult consulting consulted consults
consuming consume consumed consumes
consummate consummated consummates consummating
contact contacts contacting contacted
contains containing contained contain
contaminates contaminating contaminated contaminate
contemplate contemplates contemplating contemplated
contended contending contends contend
contents contented contenting content
contest contested contesting contests
contextualise contextualises contextualising contextualised
contextualizes contextualized contextualize contextualizing
continues continue continued continuing
contorted contort contorts contorting
contracting contract contracted contracts
contradicts contradicted contradicting contradict
contraindicated contraindicate contraindicating contraindicates
contrasts contrasting contrast contrasted
contravening contravened contravene contravenes
contributing contribute contributed contributes
contrives contrive contriving contrived
controlling controlled control controls
controvert controverts controverted controverting
convalesced convalesces convalescing convalesce
convects convecting convect convected
convenes convening convened convene
converging converge converged converges
conversing conversed converses converse
converts converting convert converted
conveyed conveying conveys convey
convicts convict convicted convicting
convince convinced convincing convinces
convoked convoking convokes convoke
convoying convoys convoy convoyed
convulsed convulse convulsing convulses
cooed coos coo cooing
cooccur cooccurs cooccurring cooccurred
cook cooks cooked cooking
cooled cool cooling cools
coop cooped coops cooping
cooperate cooperated cooperating cooperates
coopted coopting coopt coopts
coordinate coordinating coordinated coordinates
cop cops copping copped
coping cope copes coped
coppices coppicing coppice coppiced
copulated copulates copulating copulate
copied copying copy copies
copy-edited copy-editing copy-edits copy-edit
copyedits copyedited copyediting copyedit
copyrighted copyrights copyrighting copyright
cordoned cordoning cordon cordons
coring cores cored core
corks cork corked corking
corkscrews corkscrewed corkscrewing corkscrew
corners corner cornered cornering
corral corraled corrals corralled
correct corrected correcting corrects
correlates correlate correlating correlated
correspond corresponds corresponded corresponding
corroborate corroborates corroborated corroborating
corroding corroded corrodes corrode
corrupts corrupt corrupted corrupting
coruscated coruscates coruscating coruscate
coshing coshed cosh coshes
cosseted cosseting cosset cossets
cost costing costs
costars costarred costar costarring
cosies cosied cosying cosy
cottoned cottoning cottons cotton
couched couching couches couch
coughing coughs cough coughed
counselled counselling counsel counsels
counting counted counts count
countenanced countenances countenance countenancing
counters countering counter countered
counter-attacking counter-attacked counter-attacks counter-attack
counteract counteracting counteracts counteracted
counterattack counterattacked counterattacks counterattacking
counterbalances counterbalance counterbalanced counterbalancing
counterfeiting counterfeited counterfeit counterfeits
countermand countermanding countermanded countermands
counterpoint counterpointing counterpointed counterpoints
countersign countersigns countersigning countersigned
coupled couple coupling couples
couriers couriered couriering courier
coursing coursed courses course
courted court courts courting
court-martial court-martialled court-martialling court-martials
courtmartials courtmartial courtmartialled courtmartialling
